id,title,text
doc1,0,0
doc2,这辈子我要做宁波人！！不当杭州人了！,#有一种偏见叫地域歧视#真让我大开眼界了#一个人上网挺无助的#机票价格波动#我不能理解#理解不了一点#上有天堂下有苏杭#宁波人#杭州人 为什么为什么，杭州人做错了什么！！！！
doc3,径山寺下雪实况,都说径山寺下雪有多美 徒步上山的狼狈是一点不提 #下雪#径山寺
doc4,差点坠机，因祸得福，喜提爱慕斯特丹一日游,差点坠机，因祸得福，喜提爱慕斯特丹一日游
doc5,🏖️迈考迈考,美照的背后是食物中毒加发烧#日常拍照#亚文化#非主流#沙滩#普吉岛#标题#Le#笔记灵感#感觉至上𖦹ࡇ𖦹#海边穿搭无不正常引导
doc6,3000元穷游日本,前期支出： 签证 +邮费：172元+33元 机票：北京往返：1179元 酒店：530元（6天5晚） 当地交通：关西地区mini pass 3日140元 京阪观光线47元 关西机场特快29元 大阪周游卡1日135元 	 个人用品：一次性内裤5元 流量卡25元 目前共计：2295元 	 已解决：往返机票、酒店住宿、大阪京都宇治奈良神户大交通、大阪景点门票 还需支付：6天5晚吃饭钱、神户小交通、部分景点门票 	 目前结余：705元 *特别项目：伴手礼、特产（金额2520元，男友提供，不计算在穷游开销内） 	 #特种兵穷游#日本旅游#大学生穷游
doc7,尼罗河 这一帧只属于我,从没想过 有一天我也会来到北非 站在尼罗河边 吹埃及的风 看橘色的日落 #尼罗河#世界这本书我又多读了一页
doc8,过了今晚杭州人民把西湖让给游客朋友吧,孤山路夜游成了年三十晚上过十二点的保留节目了。没想到夜游朋友还真不少，也有偷偷带着四脚兽来见见西湖的。涛总和拉总也出来视察工作了，快被摸秃了哈哈哈哈，表示满意！#夜游的快乐我知道#最美夜景#西湖美景#是宠物更是家人
doc9,坦桑尼亚｜桑给巴尔岛的海龟洞穴 我的建议是,以我的亲身经历 特别想说的是‼️‼️如果想去到水里和海龟一起玩 ‼️‼️ 朋友们千万千万不要穿绿色的泳衣‼️‼️ 因为海龟们会把你当成海草 一下水就会一堆围过来，想要咬你，呜呜呜呜 	 ps：同行的朋友有被海龟咬到，很痛。周围也有中国朋友被咬出血的，所以下水还是需要小心。 	 #桑给巴尔#坦桑尼亚#海龟
doc10,第一次去美国🇺🇸加州就惊艳到我了,如果是第一次来美国， 加州绝对是首选 这里有美国最具代表性的城市和景点 无论你是喜欢自然风光 还是热爱都市文化 加州都能满足你的需求 顺便去狂野的美国西部 走完这次美国之旅 绝对会让你难忘一生 	 🚗14天行行程规划 D1-3旧金山 D4 5优胜美地国家公园 D6旧金山 D7-10洛杉矶 D11 拉斯维加斯 D12 13佩吉小镇 D14回国 	 #新年第一站#不早起旅行日记#反方向出门溜溜#不为打卡的旅行#美国#加州#洛杉矶#旧金山#新年云祈愿#城市达人计划
doc11,曼哈顿的蓝调时刻,看不腻的日落🌇 和pink sky #纽约#曼哈顿#洛克菲勒#布鲁克林大桥
doc12,海星沙滩真的有海星,海星沙滩真的有海星 ⭐ #富国岛旅游#富国岛#富国岛景点#海岛游#海岛度假
doc13,阳光与海滩！🏖☀️,无滤镜的美 	 #度假#海边度假#长滩岛#玻璃海#长滩岛绯红度假酒店#长滩岛旅行#菲律宾#海边拍照#泳衣
doc14,世界上最高的棕榈树🌴,VALLE DE COCORA 科科拉山谷的棕榈树 #科科拉山谷#棕榈树
doc15,再好的风景都不及亲眼所见，比如玉龙雪山,据说白沙古镇就在玉龙雪山山脚 我没有在束河古镇过多停留 古镇看多了，很多古镇都差不多了 但的确束河古镇比丽江古城安静了不少，虽然也商业化，但我更推荐束河 适合两个人浪漫，慢慢的走 但我还是连夜到了白沙古镇 我想在清晨看日照金山，第一次接近真正的雪山 白沙古镇不大 但因为靠着玉龙雪山 更多了几分美#遇见雪山的浪漫#有种向往叫诗和远方#风景秀丽江山如画很漂亮
doc16,威海金石湾艺术园区丨宝藏打卡地,威海金石湾艺术园区，真的是我近期挖到的宝藏旅行地！一踏入这里，仿佛闯进了北欧的梦幻小镇，太好拍啦！ 🎨艺术氛围拉满 园区里到处都是艺术展馆，漫步其中，油画、雕塑、陶艺作品琳琅满目。就算是艺术小白，也能被这些充满创意的作品深深吸引。在这里，你不仅能欣赏到艺术，还能参与一些手工制作活动，沉浸式感受艺术的魅力。 🏠彩色海草房 超出片 园区标志性的彩色海草房，绝对是拍照 C 位！这些海草房就像打翻了调色盘，色彩鲜艳又和谐。湛蓝的天空、碧绿的草地、多彩的海草房，随便一拍都能称霸朋友圈。无论是清新文艺风，还是复古胶片风，在这里都能轻松拿捏。 🌊海边邂逅浪漫 金石湾的海，清澈又温柔。沿着海岸线散步，海风轻拂脸庞，带来大海独有的气息。海边的礁石群也很出片，找个角度，以大海为背景，分分钟拍出氛围感大片。 园区里还有不少特色小店，逛累了就去喝杯咖啡，吃点甜品，惬意又放松。如果时间充裕，还可以住在这里的民宿，晚上伴着海浪声入睡，清晨被第一缕阳光叫醒，真的太美好啦！ 📍地址：威海市荣成市海滨南路金石湾艺术园区 🎫门票：可以在各大旅游平台提前查询购买 宝子们，威海金石湾艺术园区真的值得一去！快拉上你的拍照搭子，来这里开启一场梦幻的艺术之旅吧！ #威海旅游#金石湾艺术园区#小众旅行地#海边拍照
doc17,2.12📍新西兰旅游真实现状，别再听xhs乱说了,打算来新西兰玩的姐妹，❌那些不靠谱的攻略别再看啦！ 去之前虽然也有好好做攻略，但网上的攻略与现实还是有一些出入，路线规划要明确，别盲目跟风，这样才能玩得尽兴！ . ✅新西兰旅游时间 🌸春季（9-11月）：徒步、赏花、户外活动 🚩夏季（12-2月）：新年氛围，冲浪、划船 🍁秋季（3-5月）：徒步、远足，箭镇枫叶 ❄️冬季（6-8月）：泡温泉、滑雪、赏南极光 . ✅【行前tips】 🔸时差：新西兰和国内时差5小时，落地后调整时差，积攒精力好好旅行 🔸护照签证：持有效期6个月以上的护照，根据旅行次数不同，可选择单次或多次签证 🔸流量卡：可以在国内买新西兰通用的SIM卡或租用移动Wi-Fi 🔸货币：建议携带一张银联和一张VISA以及少量现金 . ✅【新西兰旅游常用app】 ✔️Google Map：强大的地图软件，比较万能，餐厅评分参考性很强。 ✔️AT Mobile：新西兰公交，可以看到实时公交班次、路线。 ✔️Waze：新西兰导航软件，显示实时速度，超速会提示！ ✔️ParkMate(NZ)：能够轻松地找到附近停车场，支付和管理停车位。 ✔️Gaspy：帮助找到附近的加油站，实时进行油价对比，自驾的必备。 ✔️Metservice：新西兰气象局，可查看未来十天的精准天气，出行必备。 . ‼️新西兰旅游建议 🔸入境新西兰需要提前在NZTD上填写入境卡，新鲜水果、肉蛋、奶类都不能带，吃的东西一定要申报 🔸新西兰昼夜温差大，无论什么季节来都要准备一件厚外套，户外活动要做好防晒 🔸少带些现金，用visa master就可以了，app也能支付 🔸打车的时候别在路边直接拦taxi，用ubar的话同样的车却能省一半钱！ 🔸新西兰酒店大多数不提供牙刷、牙膏、拖鞋等洗漱用品需要提前在国内准备好 . 🏕️新西兰南岛8日游（可定制） D1：上海→奥克兰 D2：奥克兰→基督城→特卡波→麦肯齐星空保护区 D3：麦肯齐星空保护区→库克山→瓦纳卡→箭镇→皇后镇 D4：皇后镇全天自由活动 D5：皇后镇→奥克兰→罗托鲁瓦 D6：罗托鲁瓦→爱歌顿农场→霍比特人村→奥克兰 D7：奥克兰→上海 D8：抵达上海 . 👉更多关于新西兰旅游，签证办理|行程定制|包车出行🚗|酒店机票....都可以💬戳我哦~ #新西兰#新西兰旅游#新西兰旅游攻略#假期去哪玩
doc18,当你早起去镰仓海边,你就会得到从红粉变成金色的富士山以及纯粹肆意的海#富士山#镰仓#日出#生活美学#清晨的海边
doc19,大学生勇闯香港19.9一日团,实践是检验真理的唯一标准 首先我可以很满意的回答 良心旅游团 为了避免广告嫌疑 我把名称打码了 香港出发的19.9 深圳出发的34.9 团餐8个菜 还是挺好吃的 全程没有强制购物 只有一个药店购物点 不想买转一圈出来就行 有两个自费项目 也是自愿 一个是太平山顶蜡像馆 另一个是夜游维多利亚邮轮 单独买邮轮150 我买了邮轮 性价比极高 夜景是真的好看 看完夜景7点上车回深#圳 你如果不想回来 随时可以签字离团 团是散拼大团 50人左右 让我震惊的是30%-40%竟然是年轻人 哈哈哈哈 全是看帖子去玩的 特别适合第一次去香港的 或者是把你送到香港以后你自己离团去玩都行 比你坐地铁还省钱哈哈哈哈哈哈 #大学生特种兵#香港#香港一日游#维多利亚#太平山
doc20,加州印象洛杉矶 我的生活碎片留学,加州印象#洛杉矶#我的生活碎片#留学
